,pearson,spearman,mutual_info
rh_mean_pct,0.5218083774656623,0.7777941972604351,0.4417731011097361
precip_roll7,0.5894205817689385,0.712171112669745,0.4119888589016609
cloud_mean_pct,0.43720868218815834,0.6531482255131565,0.28338674119508056
precip_lag_1,0.42502488203564365,0.6608283026926682,0.268615309550678
dew_point_C,0.27474952857016416,0.5224198325159353,0.2564053870862901
month,0.15924044616498234,0.19784088281888934,0.23756407305072624
temp_min_C,0.06532103661577475,0.2021238678173362,0.2273474979829766
temp_mean_C,-0.19528200438631824,-0.12518238360020847,0.14290140548310948
month_cos,-0.19170928586030656,-0.43835139924908156,0.13801444121632978
wind_dir_deg,0.17193463538411385,0.31659333774593695,0.12324083690616394
month_sin,-0.3089278258791057,-0.39754741203503985,0.11902935031149342
precip_lag_3,0.22455051582670724,0.47880688979392083,0.11672926627207136
press_mean_hPa,-0.2791680743036015,-0.4585264769087007,0.10744628487856467
temp_max_C,-0.28278955975723624,-0.2968135696874492,0.09102565905347149
temp_mean_lag_1,-0.02728397710829613,0.03561175359160016,0.08368337223969746
wind_mean_ms,-0.18275337279226847,-0.1963994227889454,0.040761272818366834
lat,,,0.0005161603030976458
lon,,,0.0
