,pearson,spearman,mutual_info
precip_roll7,0.4159364592920451,0.34207280508593313,0.24445517957613117
cloud_mean_pct,0.37481995259858747,0.5985378001421747,0.2364294178108306
rh_mean_pct,0.3205048416016291,0.41753075401242296,0.11973071023494164
press_mean_hPa,-0.2784172742134402,-0.3770817792781567,0.09212361697391191
dew_point_C,0.23524190468423833,0.30827201202934,0.0616707783328021
temp_min_C,0.15338646567221956,0.2177899141627035,0.04203609592503099
wind_dir_deg,-0.02015417721864329,0.01827759801988636,0.04063155808161678
precip_lag_1,0.16411748051381478,0.28867968847959796,0.03720587597994385
wind_mean_ms,0.19415322818986558,0.24350836534047757,0.030195281447534583
temp_mean_lag_1,0.13555595582474955,0.1778802995821258,0.02951453638764434
temp_max_C,0.027383238688348768,0.03880288638246941,0.02226507722632398
temp_mean_C,0.094646369662428,0.13147162105543267,0.016581147053733147
month_cos,0.024332513094133146,0.044335783455442736,0.0046843667871563355
lat,,,0.00044470797509532645
month_sin,0.046895206385528604,0.031469704796448957,0.0
precip_lag_3,0.03356750574525679,0.023062213683456668,0.0
month,-0.02281118530012462,-0.025788322382889674,0.0
lon,,,0.0
