,pearson,spearman,mutual_info
precip_roll7,0.4028696217245584,0.4691026806391183,0.1354934545892208
cloud_mean_pct,0.15703449551686308,0.324551757879903,0.06273181743911316
temp_max_C,-0.12853294206380939,-0.30886727076545306,0.04398446360285391
month,-0.03520080242148693,-0.08051933376070028,0.0415256295628339
temp_mean_lag_1,-0.08945247014086655,-0.261513266937271,0.03885779668512157
rh_mean_pct,0.1772908480793726,0.2634461084125327,0.037874834530503776
temp_mean_C,-0.11426638944336412,-0.28272671832513246,0.03472445426387871
precip_lag_1,0.2093178504150422,0.24946357653046602,0.027065467836520085
month_cos,0.06835820403647216,0.22683086932755195,0.02651531663993456
wind_dir_deg,0.016907282495108002,0.11771203773797616,0.018547887797513596
precip_lag_3,0.01728128861510611,0.13728293814098902,0.016003997101822875
dew_point_C,-0.0336052995163687,-0.17879081968526486,0.01543161083630995
temp_min_C,-0.08264152537038044,-0.2265394840255924,0.015304320151598994
wind_mean_ms,0.07058407159917766,0.06265188885258983,0.014511400730631507
press_mean_hPa,-0.02248380679932556,0.11111758492896286,0.008260670767517908
lon,,,0.0004116346587039743
lat,,,0.00041133431189344094
month_sin,0.06580525246832157,0.1359522808207611,5.340985351498517e-05
