,pearson,spearman,mutual_info
precip_roll7,0.44467910359269497,0.43272614600509846,0.22196588492095337
rh_mean_pct,0.39104496832218655,0.5027974265331515,0.20176663556886787
precip_lag_1,0.36414452560981747,0.43320173280822455,0.11350692332737111
cloud_mean_pct,0.30105295508842445,0.3438339065323263,0.0796349473274045
dew_point_C,0.1416984101985298,0.28529553500878113,0.06938008107536575
wind_dir_deg,0.2501949682964551,0.1168344892117447,0.05264563533359734
temp_mean_C,-0.1327854029550954,-0.05471217562143834,0.033988374126313836
press_mean_hPa,-0.2773510082604947,-0.2107449659035295,0.029527213406142394
temp_mean_lag_1,-0.07997860951852137,-0.011366841281229187,0.02266251173242395
temp_max_C,-0.158178552051893,-0.10137736075515004,0.019561519317846
wind_mean_ms,-0.06893198107372768,-0.029739183378871145,0.01748753088783772
temp_min_C,-0.07151497933098629,0.008202541868395011,0.014366399929534701
month,-0.019489083114440094,0.0023092333983812502,0.01352352568549886
precip_lag_3,0.06844869550950981,0.12290874757547801,0.002178138948482733
lat,,,0.001603751782313978
lon,,,0.00041321444405539864
month_sin,0.05701955335945222,0.022365174791037463,0.0
month_cos,0.03675605285951601,-0.0545629647659676,0.0
