,pearson,spearman,mutual_info
press_mean_hPa,-0.4390183252207048,-0.6072078524935198,0.217753121287398
precip_roll7,0.43650253439329967,0.46657322343047153,0.1807707336089326
rh_mean_pct,0.28618670655051975,0.31849010892559787,0.1143305421996299
cloud_mean_pct,0.2937040409754359,0.3871050429629909,0.10549482395686116
precip_lag_1,0.21863497810037957,0.3844217164115815,0.0843590873283544
wind_dir_deg,0.007369270398168256,0.06439208870297741,0.0765654250500738
wind_mean_ms,0.2010462787454302,0.32509041995819205,0.06875320365433346
temp_max_C,-0.03795579859101646,-0.06360012961311867,0.03674935755470354
temp_min_C,0.09762936157205507,0.11332564217830064,0.0332922744736015
dew_point_C,0.13403738952681918,0.1337210628822596,0.02939082057435538
temp_mean_C,0.023317551043295227,0.015134049010104322,0.028752665658382526
temp_mean_lag_1,0.028212619740223915,0.014627339201613685,0.018105047162820576
lon,,,0.01653356756558333
precip_lag_3,0.10729267864837803,0.17706799729514228,0.013778292521948288
month_cos,0.03179075641311519,0.03262300556288698,0.010462319362069206
lat,,,0.0006702966005720512
month,0.040628998874028,0.017698831327568765,0.0
month_sin,-0.042600797174724085,-0.0067822427004295095,0.0
