,pearson,spearman,mutual_info
precip_roll7,0.45045980707962247,0.5414054331862634,0.2911152959690231
cloud_mean_pct,0.37900279587169944,0.579569599250514,0.20566607434745787
press_mean_hPa,-0.3716080261161046,-0.4909944526502782,0.16184269066839363
rh_mean_pct,0.31908224590911566,0.47731017449700214,0.14990840472539801
precip_lag_1,0.2793749379785,0.5009179116522599,0.11749380330994796
temp_max_C,-0.19043744189245518,-0.32345841141311493,0.07560613315070341
temp_mean_C,-0.12231691756354197,-0.21228434822642317,0.06488461135122314
temp_min_C,-0.029051584587070856,-0.07792648240669907,0.059073443192938946
wind_dir_deg,0.00926486989130435,0.1255933952445793,0.04844811887200162
temp_mean_lag_1,-0.09047443418804893,-0.18378969327827765,0.046496632627620826
month,0.018041796924189942,-0.025242082027993395,0.04604147722938112
wind_mean_ms,0.18864754514897303,0.27121851343406556,0.04462398531855971
dew_point_C,0.1780428046405844,0.1989930422153017,0.025443769491080737
month_cos,0.07300924209514353,0.11525448366432867,0.013250092865309426
precip_lag_3,0.08697652484604768,0.2248916796145002,0.0026243554264278046
lat,,,0.0005480202870344897
month_sin,0.020436832360166433,0.10740070803563574,0.0
lon,,,0.0
