,pearson,spearman,mutual_info
precip_roll7,0.6521245562713979,0.7642352860318554,0.4658959130067295
dew_point_C,0.47323652154936896,0.7648877111778255,0.43090353722898467
precip_lag_1,0.5203328059484708,0.7231792559561252,0.3235936314977632
rh_mean_pct,0.4814515561976919,0.6771367543651259,0.31094086207750404
month,0.14127469959000005,0.18770987198053377,0.26575764678380764
cloud_mean_pct,0.46559083153973535,0.6034347921176911,0.24372909424215727
temp_min_C,0.3731082367234446,0.5888415411494462,0.2175811881499916
precip_lag_3,0.339377638693718,0.568803519995244,0.15724394779297057
month_cos,-0.3074390916128205,-0.5144331086641644,0.13970103073896167
month_sin,-0.35725201824073805,-0.404746553912408,0.1173269874835774
temp_mean_C,-0.009231649883182202,0.0910010519287273,0.11204555790304749
temp_max_C,-0.28903800910595046,-0.32760655815482403,0.09684980993818293
temp_mean_lag_1,0.046368166671256074,0.15117114847200264,0.09619531228103106
wind_dir_deg,0.14599380187359023,0.1846560276456571,0.03017289883063423
wind_mean_ms,-0.16865644443888336,-0.20370247960314464,0.023612370145798423
press_mean_hPa,0.11484245153539463,0.2005486592494634,0.020806303811471416
lat,,,0.0005479452054757417
lon,,,0.0
