,pearson,spearman,mutual_info
precip_roll7,0.7069734939066116,0.8933777005698552,0.6957459830315216
precip_lag_1,0.664607719530936,0.9182889740438063,0.6557456431157167
rh_mean_pct,0.4460119527229125,0.8171301861906719,0.5861048613435305
month,0.11324034208135283,0.25259902362246334,0.5389089986198341
cloud_mean_pct,0.5223562608852897,0.800538641575116,0.5162890213650648
precip_lag_3,0.42598136768595046,0.8607691928603364,0.49122140413963944
press_mean_hPa,-0.5258683272063618,-0.7262071651975126,0.37965051635266445
temp_min_C,0.25240927888062403,0.5425151633600227,0.3504719307254627
dew_point_C,0.30221148875840725,0.6308348055259655,0.3448513688899011
temp_max_C,-0.42923847566608725,-0.6122377876287788,0.3151444369555856
month_sin,-0.3104703970478491,-0.5372683646038641,0.28197798298632737
temp_mean_C,-0.05086117180459726,0.018930383294591124,0.2219062130355436
month_cos,-0.31826290742760177,-0.5953496760402555,0.22185049229620368
wind_mean_ms,0.45078143302715873,0.3465785625090013,0.2102090719034031
temp_mean_lag_1,-0.011302587680765669,0.05250637835387403,0.19076350182883228
wind_dir_deg,0.14500657482038312,0.23509027745174646,0.07206647080104389
lat,,,0.0005486963505134668
lon,,,0.0
