,pearson,spearman,mutual_info
cloud_mean_pct,0.3823884479551621,0.6188159260361019,0.23773584108690216
rh_mean_pct,0.42128005370649413,0.6134493962504673,0.23353778776535616
precip_roll7,0.3780936746690357,0.31482529578871965,0.15011478190758965
press_mean_hPa,-0.2829823642904982,-0.3805658368033104,0.0914360088811419
wind_dir_deg,-0.2363541784312954,-0.31954055871383685,0.06090956253192381
dew_point_C,0.15842696485565114,0.2801091845877605,0.060540903264426404
temp_min_C,0.09639565293789407,0.20572826568645625,0.03725884219384756
precip_lag_1,0.11194937413162395,0.22191293920331073,0.0352081464023577
wind_mean_ms,0.2524318368526313,0.1498967088004898,0.034924189369592185
temp_mean_C,0.0541492394817443,0.13565096224798073,0.031436088929366335
month_cos,-0.017642770421146814,-0.08953694044286929,0.0193095836275603
temp_max_C,0.008624524997007813,0.06830132255096094,0.016978673413667877
month,0.008188344469929103,-0.021933368876223245,0.00914443645550822
temp_mean_lag_1,0.031125396994119786,0.09643202472417446,0.004460750464605923
lon,,,0.000687291195553108
precip_lag_3,-0.0020640762129417573,-0.004695787173841306,0.0
month_sin,-0.020991469715148127,0.011612352515106115,0.0
lat,,,0.0
