,pearson,spearman,mutual_info
cloud_mean_pct,0.39097899965383154,0.5677241446336672,0.21974242990818915
rh_mean_pct,0.4442054110015293,0.5556083098534405,0.1874399469268475
precip_roll7,0.44773315498261096,0.4762704526627303,0.17971352703055832
wind_mean_ms,0.437725238066171,0.42102078603219467,0.1125351423592651
temp_max_C,0.06767107732845212,0.07206806596063882,0.1108836029120539
wind_dir_deg,0.027107491356659724,0.1268686160809783,0.09241880010789671
precip_lag_1,0.20865287588589126,0.42619707257860867,0.08978086499568949
press_mean_hPa,-0.24224617827424944,-0.3372346888229934,0.06129413075410017
dew_point_C,0.21677715715774903,0.2589933102596355,0.060835516976723625
temp_mean_C,0.10394464062865004,0.1219027540256598,0.04145916380908332
temp_mean_lag_1,-0.011143797969055971,0.04133412385087751,0.04042014466933441
temp_min_C,0.12988192657421468,0.18094997715788683,0.03906836147157211
month,-0.026143728540290016,-0.03508169542833916,0.008769438551669673
lon,,,0.0006849315068446771
precip_lag_3,0.09524971794304118,0.16989031148366493,0.0
month_cos,0.09005122236649073,0.06935886878699304,0.0
month_sin,0.03415238065484355,0.020992385638699065,0.0
lat,,,0.0
