,pearson,spearman,mutual_info
precip_roll7,0.49750229115048583,0.5329896918011646,0.17647868590377502
rh_mean_pct,0.35584444087024997,0.3788720669659959,0.10556766554977237
cloud_mean_pct,0.29294576147846413,0.37547894430207895,0.08998271810261738
dew_point_C,0.24988287514475963,0.355236483722158,0.08334360886778569
temp_mean_C,-0.16419370448343198,-0.2389535509113676,0.05234465303796476
month,-0.05223751443477315,-0.12613842187886082,0.04742408099756812
temp_max_C,-0.19048996983470504,-0.26321847071892124,0.04680949207954033
precip_lag_1,0.3092744807258254,0.452266341821999,0.04512458149522924
temp_mean_lag_1,-0.14124143371112483,-0.21614595906932327,0.04106883951205198
temp_min_C,-0.1158428735192661,-0.18425933386368187,0.0335973038344628
precip_lag_3,0.1673266100743342,0.2293003938474718,0.02797247414095949
press_mean_hPa,0.09522628348587164,0.1237613215943313,0.017749729821291638
month_sin,0.09517270034073712,0.227028437572968,0.011393527338777076
month_cos,0.09485896639172633,0.12724917411858508,0.00830369544987608
wind_mean_ms,-0.0032904885109134615,0.09048865064397106,0.0014983205569096825
wind_dir_deg,-0.039617128439167364,-0.03886828436496529,0.0008917585463636968
lon,,,0.0005497487908083798
lat,,,0.0004109589041050299
