,pearson,spearman,mutual_info
precip_roll7,0.5027924016088644,0.5873782892607661,0.3022244542346266
cloud_mean_pct,0.40928854283003074,0.6160668924442632,0.24734082881679242
precip_lag_1,0.338984272068541,0.6021507906725289,0.20037404223752908
rh_mean_pct,0.3521267294920446,0.5480700236775911,0.18721875218877848
dew_point_C,0.3206394430273083,0.5476179358781496,0.16536585174873863
temp_min_C,0.30369189644178574,0.5282331950787698,0.15067998317881415
month,-0.06993539504925311,-0.0894847813020792,0.14913366256429406
press_mean_hPa,-0.31385007562165135,-0.43204712562761965,0.11477497560005911
month_cos,0.2716775981301095,0.4621660865641826,0.11337934135321825
temp_mean_lag_1,0.23198821492914243,0.3917948572977811,0.07549843187785577
temp_mean_C,0.12252119979924665,0.2626873479401538,0.06178415804296833
wind_dir_deg,0.17616294655261067,0.2462117195881792,0.055602079911757585
precip_lag_3,0.13712253520358567,0.31078482958981,0.05023808044468492
month_sin,0.11430580393106848,0.1761701652403337,0.04488714605983013
temp_max_C,-0.07964722951471011,-0.04338624548182731,0.02727963796207966
wind_mean_ms,0.05445069446180385,0.10486179535354581,0.016199048314352815
lat,,,0.00027397260273609447
lon,,,0.0
