,pearson,spearman,mutual_info
cloud_mean_pct,0.42237949513880213,0.6411634157524944,0.2906185597912305
precip_roll7,0.4644998890746977,0.46571024412530676,0.24177847752898085
rh_mean_pct,0.32122028734799557,0.493781889059889,0.15161969589165647
precip_lag_1,0.3773177700393081,0.4725416182401585,0.10605423862714591
dew_point_C,0.19233800953507954,0.33105624000040146,0.09103370829294999
wind_dir_deg,-0.1358190774716831,-0.2583770884992167,0.06501474107216865
temp_min_C,0.15610850925801717,0.29062585083838166,0.059266247240552516
temp_mean_lag_1,0.11241757615042768,0.2087367699158394,0.04487208971887391
temp_mean_C,0.04932967333806491,0.13674236996123976,0.04440402893557849
wind_mean_ms,0.26481182764151895,0.14392419970535564,0.04018708182797681
lon,,,0.027242848284192434
month_sin,0.09819604107505023,0.13306194221013118,0.014114368073911088
month,-0.08100936256854277,-0.09017998609736534,0.012348290926246008
temp_max_C,-0.058110784347613825,-0.02550256055565564,0.007371515169272591
precip_lag_3,0.10035022334739954,0.15100936255712374,0.004749833765284706
month_cos,0.028986002862084685,0.13864225617784115,0.0
press_mean_hPa,-0.08960289530665587,-0.03284753905494741,0.0
lat,,,0.0
