,pearson,spearman,mutual_info
precip_roll7,0.46122374272101635,0.49566578370430675,0.2479596422003043
cloud_mean_pct,0.3504860031528353,0.5136984386937044,0.1667970277658588
dew_point_C,0.33518021035234996,0.4685234867634415,0.13139678621077522
temp_mean_lag_1,0.2854738926315511,0.4168377276217806,0.12032993250553314
temp_min_C,0.25387723090381065,0.3657104601271389,0.0880781094791665
rh_mean_pct,0.2988651293290016,0.31490799798253244,0.08421942162516505
month,0.05308231626380027,0.086556433757462,0.08173571724493645
temp_max_C,0.20351063939709277,0.3072151478948237,0.07521508320796233
temp_mean_C,0.22552929485986645,0.33395437719754295,0.07466467003044386
month_cos,-0.22952830103847002,-0.3550879443532921,0.07218111604230426
precip_lag_1,0.2683725074108652,0.3664615894172918,0.05728290151205151
wind_mean_ms,0.20324483342246966,0.3066712840760874,0.05225209841070999
press_mean_hPa,-0.1980208321184578,-0.28981523203349263,0.0504656486375481
wind_dir_deg,0.10209778057021943,0.17797458404979186,0.04605813770762879
precip_lag_3,0.07164594855676966,0.16345278196127996,0.01873849878087608
lon,,,0.006156745472483571
lat,,,0.00027397260273609447
month_sin,-0.16563746871671006,-0.17067008260556935,0.0
