,pearson,spearman,mutual_info
precip_roll7,0.5652453858563737,0.6561038315488639,0.3790842150344744
cloud_mean_pct,0.3729091469590467,0.6089890993703668,0.2653856362370739
rh_mean_pct,0.31931337606384375,0.5705477643200938,0.22886238415799376
precip_lag_1,0.38971884614952584,0.6097642369735146,0.21200659491343643
lon,0.09084877955011615,0.08058237054166714,0.1409878267839728
lat,-0.03830275184066844,-0.07535248776045946,0.13972691502960632
precip_lag_3,0.21035676951520513,0.4141892332205671,0.09051865306452189
dew_point_C,0.21164471205482238,0.30362673515962857,0.08816208950215998
press_mean_hPa,0.027989741419716295,-0.10439891210754806,0.0844872855902965
temp_min_C,0.13460393794699863,0.1593717951348734,0.062690054500119
temp_max_C,0.012403346034110661,-0.03941386877676122,0.05398222533954655
temp_mean_C,0.0704342867399282,0.04941748987848285,0.050770741790598706
temp_mean_lag_1,0.08497143781927935,0.07303638717225677,0.04206354585076699
wind_mean_ms,0.0896568947544003,0.05242932793317389,0.023596979340637425
wind_dir_deg,-0.0021759095212668055,-0.007900816737439382,0.008416639093812073
month_sin,-0.05168248887531095,-0.03158983183324767,0.0060268390849973486
month,0.023448999609213858,0.016072716540728286,0.004081253583051669
month_cos,-0.029004312848447227,-0.02978915872033046,0.0017111453123375142
